id	tweet	subtask_a
62723	@USER Hey Serena ... don’t do me any favors . Women can take care of themselves . Just hit your tennis balls and take care of your family .	NOT
73076	@USER He is ! Talking about “ I don’t need excuses I just need my money ” 💀😂	OFF
64999	@USER You are welcome dear 😇😇 but for what ? URL	NOT
39051	@USER Bring out his Antifa criminal son to campaign for him	NOT
58444	@USER Well she supported $7 co payment for Dr visits when President of AMA thats an indication . She is Ambitious thats all .	NOT
76680	@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice . He won’t be at the next election .	NOT
47309	@USER @USER @USER @USER I don’t believe in hardening schools . I believe in common sense gun control .	NOT
27964	@USER Holder is worse than John Gotti or Al Capone . Why ? Because neither of them held themselves out as honest law abiding citizens . The only Attorney General in our Nations history that was censored by our Congress .	NOT
52806	@USER Do you think if we let the ECB handle Brexit & the Conservatives handle this new tournament they might actually make less of a mess of them both ?	NOT
70987	@USER Hey Ontario the Liberals took Billions from you & gave it to multi national companies calling it a Green Energy plan don’t worry your on hook for another 19 years ... as for real viable alternatives beyond hiding more taxes ... they had nothing ... #FordNation this is up to you	NOT
46843	@USER Can’t she appeal . ? This is all kinds of wrong . If I were ES @USER would beat the sh ** out of her .	OFF
13004	" Are the Cruz vs . O’Rourke Debates Ever Going to Happen ? "" URL #TCOT #MAGA #RedNationRising """	NOT
15537	@USER Aaaahh ~ 😭 * Scribe uses Run Away because she is tiny and mantis as cool but scary *	NOT
65632	@USER Didn’t know he was still alive .	NOT
70493	@USER @USER Mine go drafts too . @USER stop this crap I'm gathering proof your censoring conservatives	OFF
73966	@USER . She is my life saver ❤ . URL	NOT
63792	( 2020 election season ) Trump : my dick is the most magnificent dick . Just tremendous . Leftists : prove it you Russian puppet ! Trump : * whips dick out in fit of senility * Conservatives : * vote Trump to victory *	OFF
13725	@USER And these are the * people pushing for gun control 😒	OFF
15836	" @USER You know what will make this professor even woker "" ? If he's a gun control nut .... """	OFF
65180	TRYING TO HIDE ALL THE EVIDENCE 😂😎✍👀 #MAGA #QANON #TRUMP #WWG1WGA #QARMY #QALERT #MAGAFORALLINC 🤔 #TOOLATE 😎 👇 URL	NOT
48548	@USER 2 Republican Men in a picture 85 and 84 what are men of that age are Law Makers too old no sorry young Republicans are like young Conservatives they are all born at 40 years of age	NOT
54549	" 6/7 .... drunk 17-year-old tell us little about his character as 53-year-old , let alone about his competency as a jurist . "" But it seems a tad more likely that conservatives are merely clarifying , yet again , that “ LAW AND ORDER MEANS USING THE LAW TO REINFORCE A SOCIAL ORDER . """""	OFF
20945	@USER @USER Problem is your Senator Marco Rubio is on the NRA payroll . He’s taken over 3 million dollars from NRA and isn’t going to do anything about sensible gun control	NOT
63429	@USER @USER @USER @USER LMAO . Conservatives lecturing about conspiracy theories . THAT is funny .	NOT
50759	A tear is made of 1% water and 99% feelings .	NOT
76994	@USER @USER gfy ... the NFL should get no protection from the police ... and no support from our military ... the league will slowly die on this road of shame !!!	OFF
58929	@USER she is so beautiful ! ❤ ️	NOT
40752	@USER @USER @USER @USER ☝️ this is why Conservatives and law abiding citizens don't come to the table about gun control . It not about lunatics like this guy that should no longer own weapons . Its about removing all guns slowly but surely from everyone regardless of who they are . URL	OFF
54364	@USER @USER @USER @USER I’m not affiliated with any party . You don’t care if he is innocent or not . You’re just a party jackoff . See how that works .	NOT
19543	@USER @USER @USER way more accurate than most theories . Most history ancient Egypt ect is all made up BS . It’s all been fabricated for us I don’t claim to know why . But if you start looking into history ect there’s no fucking proof of anything . Enjoy the show . Our consciousness is def changing #Doit	OFF
33290	@USER @USER I support Jahs blessings on his hussle .... he is d bomb	OFF
35523	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what ANTIFA stands for ?	NOT
38231	@USER Thanks Vince You fucker . No need to hold out and chance that clients miss it .	OFF
72744	@USER @USER @USER @USER @USER @USER @USER @USER @USER Cheers ; appreciated .	NOT
12569	@USER @USER Why does @USER have this censored as potentially sensitive material ? #PanicInDC #QAnon #WWG1WGA @USER	NOT
29303	@USER @USER No one is talking about Trump ! What does this tweet have to do with him ? You liberals are more obsessed with him than his own supporters .	NOT
76898	@USER same i just want to win so i can finally have a good pc and shit post in full body in vrc	OFF
76420	@USER Weird California has all the best gun control	NOT
35521	@USER @USER Can't do that . BLM and Antifa morons will start looting	NOT
35588	@USER It's hard to really say at this point in his career . He is still so young . Let's see how his jr season plays out before we start judging him . I have a feeling he's going to earn a spot on Canada's WJC team . I think that could go a long way .	NOT
72309	@USER @USER @USER @USER @USER @USER @USER @USER Come out and disavow WS and the 👌 sign or else you are linked to Charlottesville and Trump . And don’t say antifa is bad too ...	NOT
12762	@USER @USER Reading these comments .. this dear boy was burned alive !!!! And some are still talking about gun control ! My gosh people !	OFF
72262	@USER @USER Did you serve ? You rate at bottom of the barrel pal . MAGA . 🇺🇸🇺🇸🇺🇸Go President Trump .	NOT
74407	@USER @USER @USER Exactly she is so incredibly talked and I’m so excited to see her on my tv weekly . 💙💙 . She’s brilliant .	NOT
32835	@USER He is as slimy as that hair dont !	NOT
12743	@USER It’s funny . You’re claiming gun control will help the US yet you’re apparently on the south side which has been deemed “ chiraq ” lol ... Chicago has the strictest gun laws yet the highest gun violence .	NOT
63716	@USER @USER @USER Lookin good !! He is a pretty awesome guy !	NOT
25855	@USER Bye bye Flake you Flake ! Don’t let the Senate door hit you in the behind on your way out . @USER @USER @USER @USER	OFF
41007	@USER She is 100% lying . But you don’t understand the mind of a leftwing nutjob liberal . They are a cult . Money means nothing to them . It’s stopping trump by any means	OFF
63061	@USER Remember Tina . You can always sleep when you are dead ! URL	NOT
16777	@USER don’t get me started on the head of special needs she is on another planet	NOT
52835	@USER Yoo our dogs should totally fuck	OFF
36228	@USER @USER Goth if u don't mind how u vet to 530 I'm currently stuck at 516 and done my powerful gear	NOT
22662	@USER Get away from these lying toxic people !	OFF
38419	@USER Many liberals are . Male and female ! Lol 😆	NOT
40539	" The Washington Post’s Slander on Hurricanes and Climate Change "" URL #TCOT #MAGA #RedNationRising """	NOT
