id	text	annotation
90194	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	IND
97670	@USER Liberals are all Kookoo !!!	OTH
52415	@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	GRP
13384	@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	IND
28414	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	IND
28195	@USER @USER @USER gun control! That is all these kids are asking for!	OTH
56117	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	IND
12681	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	GRP
82904	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	GRP
77665	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	IND
12609	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	GRP
12108	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	IND
14726	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	GRP
84102	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	GRP
98992	@USER Fuck off	IND
33853	"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing"""""	OTH
75215	@USER @USER She is useless.  Attempts to do the right thing but never follows through.	IND
57013	@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.	IND
74831	@USER Trump kicks dem butt - its so fun.	IND
53264	@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.	IND
84664	@USER And this from the clown that should be in prison?	IND
48995	@USER Thats because you are an old man.	IND
47153	@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	OTH
64429	@USER I mean it worked for gun control right? URL	GRP
45068	@USER She is drinking so much koolaid she’s bloated.	IND
84667	@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!	IND
93119	WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	IND
21379	@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!	IND
52252	@USER Fuck em	GRP
91001	@USER Good move....he is the big loser	IND
80561	@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.	IND
39907	@USER @USER @USER please don't kill me. antifa on the other hand...	IND
77294	@USER @USER She is an ugly black hearted troll URL	IND
28841	@USER @USER We have been saved from you! MAGA!	IND
59998	"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."""	IND
28812	@USER This all I get 😢 damn these haters deleting you IG for no reason... URL	GRP
64776	@USER SJSHSJ THATS MY JOB BITCH	IND
69972	@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat	IND
96789	"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"""	GRP
68629	@USER Let the leftist democrats riot in the streets with their antifa counterparts.	IND
77319	@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.	IND
49504	@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!	GRP
31229	@USER This game sucks donkey balls	GRP
88546	@USER Absolutely should be a nail in the coffin.... for Hilliary	IND
32897	@USER He is a DUMBASS !!!!!	IND
62072	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL	GRP
95444	@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL	IND
62481	@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail	IND
39021	@USER Oh my Carmen. He is SO FRICKING CUTE	IND
68840	@USER Chelsea is as crazy as her mother	IND
32916	"@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP"""	GRP
18547	@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!	GRP
82607	@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.	GRP
82339	@USER Yes do hurt your selves gun control freaks.	GRP
34510	@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss	GRP
53501	@USER the owner of my culo	IND
69928	Now she scarred herself for life lol #MAGA URL	IND
31853	@USER you fucking -	IND
13872	Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	GRP
28985	I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA	OTH
74004	@USER @USER Leftists showing yet again how vile they can be	GRP
70838	@USER He is a drunk crazy man.	IND
15991	@USER All that money hadn't made u smarter.	IND
16885	@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !	GRP
19514	Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL	IND
34317	"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others""."""	IND
36289	#FireMorningJoe he is cut from the same cloth as all other conservatives. His misogyny and bigotry are always on display. He is responsible for Trump. URL	GRP
86477	@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work. If you want to control a population.  Australian gun control had no effect on homicides.	OTH
44015	@USER @USER Liberals ruin everything!	GRP
11411	@USER That's what happens when you let a liberal get a hold of a gun.  That would be a good place to start gun control.  Ban liberals from getting guns.	GRP
10133	@USER @USER You look happy .MAGA	IND
29497	@USER Yet she is fat herself.	IND
97300	@USER @USER @USER What a joke! She is a Gem alright!! She is a Racist phony! Right along with this Racist Phony. That thinks she will follow me from her second account. And block me. Because I speak the truth. I could care less about follower's. Like it's a big party. I care that they discriminate URL	IND
14808	@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the shit that goes on in your head.	GRP
87300	@USER Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing	GRP
80497	@USER Coming from the man that threatened to try and kick Turmps ass now don't that take a set of ball's	IND
97277	@USER Getting scared ugly man?	IND
77769	&amp; terroism &amp; starvation &amp; Flint &amp; poverty &amp; climate change &amp; global warming &amp; sex trafficking &amp; bullying &amp; body shaming &amp; police brutality &amp; feminism &amp; gun control &amp; marches &amp; protests	IND
33096	@USER Hahaha BIG thighs is not going to make it	IND
81470	"#maga #christineford #trump2020 #tcot #ccot #AmericaFirst #Patriots @USER  #BrettKavanaugh had this to say about Bill Clinton during Whitewater:   It's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   Indeed. URL"	IND
20322	"#MAGA people are very low IQ. GDP Growth"" means LITERALLY NOTHING. In no way does this translate to higher income for white familes or individuals. All that billions goes to companies or government.   And what jobs did he create? Labour which pays less than living wage lmao? URL"	IND
60130	@USER Bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious	IND
54559	A bitch built like that could beat my ass all she wants URL	IND
14285	@USER @USER Very pathetic man !	IND
42133	@USER @USER @USER @USER @USER @USER You must be talking about hateful conservatives.	GRP
18834	@USER @USER Thats correct!!! #MAGA	IND
38043	@USER @USER @USER This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @USER  @USER  @USER	IND
76709	"@USER @USER @USER @USER This is great! Mark The Great One"" Levin and Candace ""The Great"" Owens together! This team is unbeatable! They just sent liberals into a frenzy again! A whole block of liberal voters just had their heads explode! And...sadly, Alyssa Milano just wet her pants again! Great team!"""	GRP
22728	@USER #StrataData #AI #data #hairball: @USER TDavis touring the application of #Cognitive and #machinelearning techniques to speed #Governance of #data URL	GRP
11640	@USER @USER @USER @USER I wasn't proposing scare tactics. I really meant what I said. Trump can easily pull the good maga Republicans and can easily steal enough votes from GOP Dem and independents and will bring fresh breath to our rotten politics. Think about it.	IND
47009	@USER @USER @USER @USER Only a liberal would support a liberal that spent a MILLION to get liberals elected to office. #LibFAIL! URL	GRP
97936	@USER It’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘Liberals think all criminals should be free.’  It reveals a pretty brutalist and impenetrable mind.	GRP
72024	@USER Why? Why are liberals so trashy?	GRP
98547	@USER Yes I saw this and I will say tapper kept basket her and she kept coming back with stupid answers And he finally gave up I don’t think he is a big fan of her policies he’s not that stupid please	IND
98382	@USER If you go by anything other than he or she you are fucked in the head.	IND
71577	@USER All you need to know is he is empty inside	IND
17391	@USER The Liberals are mentally unstable!!	GRP
34443	@USER @USER Who authorized a search warrant of mr Jean home?  Racist what about her drug test. This is premediated murder. He will not be slandered. He is the victim.	IND
22185	@USER @USER @USER i have heard he is making waves	IND
77089	#ThursdayThoughts- FUCK liberals. Forever.	GRP
79972	@USER Once again it's been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the #2A. Criminal *don't* care about gun laws.	GRP
30085	@USER @USER Mxm nigger thinks we give a fuck URL	IND
95773	@USER @USER She is a fake. Vote her out. Now she wants sympathy.	IND
51053	10kids from different women from this American jobless men? Nigerian men you are the bomb!!!	OTH
14131	@USER This Russian agent is a DISGRACE. Hey old creep @USER you are going to die in prison. You and Trump sold America to the Russians and it’s time you do the time for your years of crimes. Scumbag.	IND
53995	@USER We shouldn’t be surprised. These same pigs worked with neonazis to unmask antifa protestors. And the local coverage by shit journos like @USER didn’t cover that AT ALL. We had to rely on @USER for investigative coverage URL	GRP
82171	@USER @USER Because 45% of Americans are too lazy to vote.  Non-voters skew liberal. And too many liberals who do vote throw their vote away on 3rd party losers. Next question?	OTH
50936	"@USER @USER I'm sure he doesn't call his gated community's private security firm Bull Connors"" though. It's funny: Now liberals LOVE privatization of police!"""	GRP
97580	@USER @USER Wonder how many children he molested	IND
54991	@USER @USER Oh you are in England?  Your views on gun control stopped mattering in 1776.	IND
55051	@USER @USER @USER @USER @USER @USER This is the ANTIFA party &amp; all of a sudden they expect us to believe they care about anyone besides themselves. Nope.	OTH
58548	@USER @USER Wonder if he apologized to Diamond and Silk for calling them a “minstrel show?”  He should have been fired but there he is making faces.	IND
41277	@USER Which is why it’s awesome that Kavanaugh didn’t shake that gun control dads hand.  Sorry for kid was killed by a gun but it’s not the future judges fault it happened...... omg white people in cities are silly	GRP
