id	tweet	subtask_a
24484	@USER Fuck yeah !!!! Go you !!!	UNT
52720	Kanye been cancel the moment he said slavery a choice and rock a maga hat #ImWithSnoop	UNT
56503	@USER Holder should be removed with a set of tongs and some disinfectant .	UNT
33096	@USER Hahaha BIG thighs is not going to make it	TIN
21564	@USER @USER @USER @USER To be fair . I’m positive most liberals are just blobs of cells ..	TIN
59657	@USER I want to kiss your ass .	TIN
48370	@USER Blame Trump for the weather and the corruption that existed for decades in PR . What an ass typical democratic	TIN
59153	@USER Maybe we do need gun control . Lefties can not handle the responsibility .	UNT
61705	@USER She has become a parody unto herself ? She has certainly taken some heat for being such an .... well idiot . Could be optic too Who know with Liberals They're all optics . No substance	UNT
51044	@USER #LyingLiberals as usual . Put a republican in charge down there and see how quickly things improve . #HurricaneMaria pulled the veil off of liberals keeping people in #Poverty so they can stay in power promising a brighter day .	UNT
83966	@USER 100% he is the Messi of goalkeeping GOAT	TIN
90485	@USER Don’t mess with niggas from Marcy projects george Zimmerman ! You gonna get lit !	UNT
72875	@USER @USER [ Eric opens the door and runs to the couch . ] Fuck yeah .	UNT
38181	@USER mad bc you’re hot as fuck and they can’t have you 😭 ❤ ️	TIN
39907	@USER @USER @USER please don't kill me . antifa on the other hand ...	TIN
92257	#Manitoba - #NDP leader Wab Kinew on the #carbontax URL Are you proud of yourselves @USER and @USER You allow the NDP to come at you from the right ? You're all as insane as the #Trudeau #Liberals #Winnipeg #Canada #MBpoli	TIN
99078	@USER @USER @USER Shit up	UNT
23228	" @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER They get testy and decide you're a paid shill "" a lot , if you end up hanging around QAnon you'll get used to it . """	TIN
91001	@USER Good move .... he is the big loser	TIN
69928	Now she scarred herself for life lol #MAGA URL	TIN
23240	@USER Georgia University ... your racism and utter lack of tolerance is showing . Higher education is apparently not your goal .	UNT
54991	@USER @USER Oh you are in England ? Your views on gun control stopped mattering in 1776 .	TIN
70260	@USER So Fucking What . It doesn’t matter if they found the Dead Sea scrolls or the Colonel’s secret recipe . This man should not be dead but he is so due to the ignorant negligence of someone else .	UNT
97891	@USER On everything that shit is really sad smh	UNT
57616	@USER Absolutely NFW .	UNT
98547	@USER Yes I saw this and I will say tapper kept basket her and she kept coming back with stupid answers And he finally gave up I don’t think he is a big fan of her policies he’s not that stupid please	TIN
64189	-____- No other 1st world country has bullshit like this because they don't have BULLSHIT problems like this Fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control URL	TIN
74402	" @USER @USER @USER It wouldn't surprise me a bit . Just like they falsely call conservatives , Fascists "" and justify physically attacking them . "" Trump's a Nazi , kill him ! "" . It's just a matter of time before they suggest it . """	TIN
22086	@USER Does not suffer fools and has seen enough shit to last nine lives .	TIN
98382	@USER If you go by anything other than he or she you are fucked in the head .	TIN
39021	@USER Oh my Carmen . He is SO FRICKING CUTE	TIN
47741	@USER As well he should ! These people are the DREGS OF SOCIETY - NOT THE PRESIDENT'S SUPPORTERS ! At least we didn't try to stage a coup d'etat! #QAnons #GreatAwakeningWorldwide #JoeBiden #MAGA	TIN
77519	@USER Even if the devil did make every single one of those priests rape children ... Why does the pope refuse to condemn it ? Why didn't he remove from leadership the rapist brought to him ?	TIN
54209	@USER can't fucking believe it .	UNT
99586	@USER @USER Son please don’t make me cry today because I never saw this shit	UNT
55806	" @USER @USER @USER @USER He is mocking self-professed populists who claim to speak for the people "" when those who stand up for "" norms "" and "" rights "" are labelled latte drinking elitists """	TIN
78450	@USER @USER @USER @USER @USER @USER @USER 😂😂😂😂😂😂 yeah . Peaceful because the right .. Well .. know they're right . No counter protests . Unlike fascist Antifa . As for 7k .. who counted ? Dianne Abbott ???	UNT
76898	@USER same i just want to win so i can finally have a good pc and shit post in full body in vrc	UNT
69972	@USER @USER @USER What part of NO COLLUSION don't you get ??? This is why you are a dumocrat	TIN
19906	@USER The tweets show how demented liberals have become . They have zero credibility	TIN
24282	@USER Shooting in USA is so common no one is talking about gun control any more .	TIN
11746	@USER Poorly worded but he's not talking about the actual shooting . He means the aftermath with the gun control aspect .	TIN
79122	@USER @USER @USER The Democrats are so desperate all those ppl threatening Sen Collins are from CA . They will do anything to delay or halt confirmation and @USER re-election is on the line she is desperate . The ppl & GOP are quite aware of what is going on .	TIN
61507	@USER @USER @USER @USER @USER She is a disgusting Coont !	UNT
92949	Too bad life sucks 4 u #schiff4brains 😂 ur going down along wi ur other CRIMINAL friends . Only red line crossed is the LIES U TELL . U will never b anything more than the belly of a SNAKE #MAGA #TRUMP2020 #schiff4brains URL	TIN
97760	@USER When are the Republicans going to learn that Democrats hate conservatives . Vote Thursday	TIN
25387	" @USER @USER @USER Gotta love when the uninformed point to Venezuela as though it's the inevitable result of socialism ! Socialism ? Venezuela ! "" Gun control ? "" Chicago ! "" It's like watching a round of Shitty Jeopardy , where no one knows a damn thing but they try to compete anyway . Logic ? "" Trump ! """""	UNT
43569	@USER Made my wife take the Egghead Bible Challenge . Our two kids are obviously more obnoxious than that loop because this shit isnt phasing her at all .	UNT
31793	@USER She don’t even wear the shit I buy her now . Move away from me .	TIN
80497	@USER Coming from the man that threatened to try and kick Turmps ass now don't that take a set of ball's	TIN
84894	@USER @USER If Kavanaugh is confirmed there will be two sexual deviants sitting on the Supreme Court . Both Conservatives and nominated by Republicans . Democrats put women on the SCOTUS and Republicans put perverted men there . FOR THEIR LIFETIME ! #StopKavanaugh #StopTrump #SaveSCOTUS	TIN
73201	@USER @USER That’s how immature she is not to mention no class at all O !! Not even a dime	TIN
68597	@USER A whole meta joke here would be my original tweet fuckin up the calculations .	UNT
32776	#Liberals grasp at unproven straws ... #NotPlastic URL	TIN
89453	@USER And honestly it’s ridiculous .. you are grocery shopping there is no need to be like That	TIN
92402	@USER Yes as fuck	UNT
35025	😀😆😂 @USER rocks #MAGA 👍 URL	UNT
56689	@USER @USER @USER I know who she is but I've never seen her watch a Benfica games this takes shit to a new level	TIN
41642	@USER Good Democracy is overrated . Read Hans Hermann Hoppe- Democracy : The God that Failed	TIN
66578	@USER @USER Yup ! She will destroy hard working ppl and small businesses . She is evil with a pretty face and ppl are falling for it .	TIN
20729	" @USER @USER Let's focus on Kavanaugh . Bringing up other cases to make an argument about hypocrisy is irrelevant . It's like saying , Let's not investigate this bank robbery because liberals have robbed other banks . "" Try to focus . """	TIN
78473	@USER @USER @USER Trump is a very sick man . He is toxic and mean spirited .	TIN
81087	@USER ??? what the fuck ??	UNT
25505	@USER What a freaking ass .	UNT
41145	" America ..!! #WalkAway Get out and VOTE or live in POVERTY and SERVITUDE ...!! "" #MAGA #WWG1WGA URL "	UNT
62929	" @USER @USER @USER @USER @USER Because he is talking to an idiot . Liberals have a mental disorder . In his book The Liberal Mind : The Psychological Causes of Political Madness . "" Dr. Rossiter exposes that the ideology motivating Liberals is actually a mental disorder . Read more : URL "	TIN
77037	@USER @USER Horrendously sad that we all know who “ he ” is . It gives me no joy to know I’m smarter than the president .	UNT
